CARRO;PLACA;EMPRESA;STATUS;UF;ANO FAB;ANO MOD;MARCA;MODELO;TIPO;EIXO;QTD POLT;POT MOTOR;CHASSI;RENAVAM
6139;PLX7B36;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954737;1207886685
6144;OZP6260;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864229;1022861597
6145;PJP3B65;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3881208;1069375990
6146;PKA9312;PROGRESSO;ATIVO;PE;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884304;1094094649
6147;PKP1699;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3905581;1126702533
6148;PLH8541;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932561;1168653581
6149;PLX2A54;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3954721;1207884844
6154;OZP2325;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864196;1022860957
6155;PJP9852;PROGRESSO;ATIVO;BA;2015;2015;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200G3881214;1069376849
6156;PKA9805;PROGRESSO;ATIVO;BA;2016;2016;SCANIA;COMIL CAMPIONE R;TRUCK;3;46;360;9BSK6X200G3884294;1094094959
6157;PKP6001;PROGRESSO;ATIVO;BA;2017;2017;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;4;64;440;9BSK8X200H3905569;1127113167
6158;PLH6629;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932550;1168645198
6159;PLX6D73;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - CAMA;4;40;440;9BSK8X200K3956178;1207882868
6164;OZP8G38;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864188;1023464214
6165;TGS6A41;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISE DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4091643;1437786135
6168;PLH0848;PROGRESSO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932564;1168652798
6169;PLX6J65;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;COMIL CAMPIONE DD;DD - CAMA;4;40;440;9BSK8X200K3954749;1207880202
6174;OZP6061;PROGRESSO;INATIVO;BA;2014;2014;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200E3864245;1023465105
6175;TGS6C85;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4091734;1437788200
6178;PLH2069;COMODATO CRUZEIRO;ATIVO;BA;2018;2018;SCANIA;MARCOPOLO PARADISO R;TRUCK;3;46;360;9BSK6X200J3932557;1168638957
6179;PLZ9B40;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;BUSSCAR VBUSS DD;DD - EXE/LEITO;4;64;440;9BSK8X200K3953548;1210981596
