CARRO;PLACA;EMPRESA;STATUS;UF;ANO FAB;ANO MOD;MARCA;MODELO;TIPO;EIXO;QTD POLT;POT MOTOR;CHASSI;RENAVAM
6279;PLY4C82;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;BUSSCAR VBUSS R;LD;3;48;400;9BSK6X200K3956928;1209849680
6284;SJT0E82;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054519;1380514271
6285;TGW9E34;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096392;1444053938
6289;PLZ6H85;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;BUSSCAR VBUSS R;LD;4;48;400;9BSK6X200K3956953;1210983068
6294;SJT4I31;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054547;1380514557
6295;TGW7H49;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096369;1444047695
6299;PLZ7A06;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;BUSSCAR VBUSS R;LD;3;48;400;9BSK6X200K3956955;1211187001
6304;SJT2A48;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054552;1380515111
6305;TGW7E01;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096365;1444042464
6309;PLZ0A41;PROGRESSO;ATIVO;BA;2019;2019;SCANIA;BUSSCAR VBUSS R;LD;3;48;400;9BSK6X200K3956957;1211187877
6314;SJT4H87;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054543;1380519702
6315;TGW8B01;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096393;1444057267
6324;SJT2C41;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054537;1380513909
6325;TGW3H66;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096379;1444065014
6334;SJT7A98;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4053673;1380513917
6335;TGW0A70;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096363;1444670210
6344;SJT4G61;PROGRESSO;ATIVO;BA;2023;2024;SCANIA;BUSSCAR VBUSS DD;DD - SEMI-LEITO/LEITO;3;60;410;9BSK6X200R4054556;1380514875
6345;TGW0A65;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096356;1444669521
6355;TGW3H73;PROGRESSO;ATIVO;BA;2025;2025;SCANIA;MARCOPOLO PARADISO DD;DD - EXE/LEITO;3;59;410;9BSK6X200S4096372;1444673316
